model_name,family,run_name,raw_epoch,epoch,train_loss,val_loss,precision,recall,map50,map50_95,f1,time_seconds,dataset_resolution,input_resolution,training_seconds,best_weights,class_ap_biodegradable,class_ap_cardboard,class_ap_glass,class_ap_metal,class_ap_paper,class_ap_plastic
YOLO11-S,yolo,yolo11s_data640_img640,4,4,4.21659,4.06344,0.5066,0.41422,0.42554,0.27438,0.4557760517794403,768.607,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,5,5,4.05842,3.90703,0.49652,0.40724,0.41895,0.27375,0.44747013543369096,955.324,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,6,6,3.92169,3.76441,0.54517,0.43088,0.48032,0.31637,0.4813336398745133,1142.45,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,7,7,3.8409899999999997,3.63399,0.56748,0.45001,0.51204,0.34873,0.5019639992525705,1329.09,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,8,8,3.7430600000000003,3.5700199999999995,0.57716,0.46401,0.52893,0.35851,0.5144366656736994,1515.93,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,9,9,3.65048,3.40596,0.59219,0.48068,0.5467,0.38237,0.5306400387740074,1702.85,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,10,10,3.58012,3.4376300000000004,0.58395,0.49365,0.5476,0.38122,0.535016550667655,1889.48,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,11,11,3.65221,3.4328600000000002,0.59034,0.49421,0.54763,0.37817,0.5380147183619584,2075.47,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,12,12,3.52974,3.3871399999999996,0.6011,0.49878,0.55994,0.38801,0.5451806706181171,2260.0,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,13,13,3.43018,3.31341,0.61179,0.48641,0.55734,0.39093,0.5419427679834803,2444.78,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,14,14,3.33906,3.2798800000000004,0.63621,0.49548,0.56662,0.40092,0.5570948418731656,2630.02,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,15,15,3.243,3.2515,0.62699,0.5328,0.57695,0.40567,0.5760702747906292,2814.82,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,16,16,3.17001,3.24522,0.64294,0.51791,0.57638,0.40562,0.5736917868798089,3004.76,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,17,17,3.1100700000000003,3.20467,0.66503,0.5211,0.58706,0.41691,0.5843324644005427,3189.63,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,18,18,3.06602,3.19639,0.64831,0.53866,0.59285,0.41968,0.5884203722077319,3374.44,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,19,19,3.02377,3.21626,0.66403,0.52187,0.58738,0.41292,0.584429270764327,3559.05,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,20,20,3.01538,3.19772,0.66463,0.52344,0.58883,0.41514,0.585645504388979,3744.09,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,1,1,4.86092,5.1021399999999995,0.38975,0.30716,0.30169,0.1692,0.34356117719598867,409.652,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,2,2,4.79284,4.68494,0.4438,0.3371,0.33804,0.20438,0.38316040466079765,804.586,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,3,3,4.57921,4.30555,0.47307,0.3639,0.39711,0.25674,0.41136521739081283,1197.08,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,4,4,4.40924,3.89609,0.54076,0.38762,0.45411,0.3116,0.4515594717675397,1588.22,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,5,5,4.21347,3.8401699999999996,0.54804,0.40711,0.46167,0.30897,0.467178065015477,1979.85,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,6,6,4.08197,3.7512999999999996,0.58047,0.42578,0.4966,0.33572,0.4912348156019962,2370.68,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,7,7,3.97411,3.66649,0.55751,0.4347,0.49297,0.33656,0.48850464518550657,2761.83,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,8,8,3.86749,3.5166000000000004,0.59064,0.4504,0.52088,0.3575,0.511074033658158,3157.96,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,9,9,3.8006800000000003,3.5224999999999995,0.5762,0.44912,0.50085,0.34454,0.504784738422634,3549.31,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,10,10,3.69811,3.4127799999999997,0.58028,0.48683,0.54445,0.38207,0.5294631526266931,3942.46,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,11,11,3.6913300000000002,3.41972,0.60324,0.48722,0.55397,0.38551,0.5390579990090979,4335.16,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
